Id,SalePrice
2658,163197.22524936887
2718,222406.38979280565
2414,200613.5785557624
1989,137738.6292840797
625,177106.57657843162
333,93482.09582213151
1327,105817.73935984256
858,158663.09560422256
95,224478.37622625503
1568,163270.68992879774
2482,197701.9383487456
1364,130655.6624871479
2584,170993.2035981612
818,269699.3034481214
2673,159167.9501634033
2089,92359.73213112223
1297,168864.06498476438
790,126619.81788010344
2616,188566.27418110144
720,218722.59646878144
222,139049.22770002644
557,125338.09801888057
1148,236417.46315641043
2766,139671.8521352476
534,216392.94701701522
1452,110158.98684405087
630,129630.62786664549
2648,158093.9261655357
125,154489.19790721705
1904,21057.264261335367
1670,111772.77244254317
756,113546.90961983013
717,284543.47249770176
1032,157966.020896673
852,242175.89124112562
1731,178766.52501364722
2639,119182.67902461023
2071,50859.44387675339
1267,115627.8388134586
1851,229529.68986187494
567,177643.84822745307
2439,230915.68297275237
1898,167081.90238569496
647,154974.56436088993
2256,236814.2871354003
979,93445.01392894576
1444,233623.76605232383
2485,110549.8796540411
157,112603.12003243055
88,123157.03981385245
2003,117338.30779211257
186,231989.01691914606
1425,277908.54971911485
2695,140732.5572945513
738,99883.5514996543
395,155846.27335603035
1353,178575.6132230348
1878,145020.20611782186
390,171545.73085266628
1456,250632.01952696085
1103,314899.6600339867
1387,136952.49786495187
2070,134011.4232376164
1199,178988.2731936032
2479,198744.02833897626
501,313554.2400483394
2362,81671.15043225596
1718,213959.00451526517
2188,61585.96018445931
1483,162750.209055186
2557,82330.89079125115
437,324748.91800872574
2224,194867.39841571156
1628,185127.6921484643
397,126144.6738473743
587,204733.1726380346
971,118420.88691371892
2611,145793.4867181365
1887,71170.79401642049
2399,337139.9116673473
2148,235714.52197531343
304,130027.67256472236
1997,136454.251728617
2817,118288.99514120299
1431,183794.95929751857
427,374770.18548384274
263,117072.46024563645
598,166964.41111580288
2895,251305.60078420397
687,161078.36688135535
1822,132329.0152987576
2191,102599.7865067101
179,115921.8037665042
1009,222373.87006199523
2010,115175.8255027698
1991,151132.9362935142
1411,180975.81278557447
1721,261724.26236748556
1144,212781.92440167067
593,231723.89233135575
575,305473.4653145268
1249,181286.63475028207
1604,111467.92541423098
1064,414290.82440632395
1923,154626.0694345576
1988,98682.79716415583
2325,168990.01686452125
114,204742.65798643586
2700,228476.5104452421
217,151496.12468647136
343,182947.99865380942
386,255062.453783451
2005,86879.84795013106
2908,124841.42928196647
1814,237308.652989584
2446,413713.50753144134
208,156698.29806609845
1679,126428.7346802069
822,333499.6749543932
6,186552.66534721118
1781,379129.6796792147
2397,284185.87725861603
2340,283772.5571091155
1618,155531.49917463426
2843,179268.01654182814
1061,339259.8077905098
2786,107342.4608080006
1935,130837.82669459733
1341,108618.52828600147
521,287671.1687452671
2136,125918.60870166979
996,174048.71876381544
227,138635.05656289664
135,157337.70895313052
1167,160066.7747449472
294,239820.88855420944
1776,231566.0734010188
540,206400.48620440016
1717,213959.00451526517
2303,103412.72189977282
116,190278.46960778226
127,136858.99843934507
1371,133575.43340750193
1014,188585.90725723666
1507,69530.7370218878
702,169211.88587037523
750,177911.5162198216
261,140518.71653127606
1559,58363.93632114066
577,259200.0654965811
2812,226325.08843694528
2080,177972.98175928247
1368,118199.7784666649
2376,108473.49399910883
659,125154.48087732258
1235,125259.60486832206
332,80615.01561412848
1917,140377.9556437098
2094,267049.21684425016
1460,288835.10209128866
1471,205131.36712759902
1509,114739.7581912643
1922,121253.88054330864
433,427956.62009858387
460,295487.007279643
1116,249204.89902909973
1137,174702.6410671958
53,203417.07670585602
2354,259967.01349684258
1475,232198.32976458897
1761,491526.596504066
842,130476.14199302402
2739,189437.16697809735
2509,186730.03013355754
1007,220880.16731852072
2610,186222.26246274772
1952,110997.36041397952
2719,221013.85643033747
2921,93201.3663377281
1966,142030.61604216386
292,130978.70835814363
1204,195504.3065983907
1829,256455.4665900147
2419,204480.09591993087
391,161256.64024447743
798,122221.96084053844
481,203955.20073454783
193,212475.3257836219
555,121543.48898731341
899,44011.95344821087
2357,182488.98454536623
328,113397.15992680276
1356,93175.53844358545
1154,105551.07949642584
1730,191410.044659224
2249,131929.21092730455
1119,264660.08005107456
2856,136459.87646492562
1394,129817.49300433611
2587,113679.96671324628
61,325318.6629260158
2661,207602.86050696444
2711,126173.95466951336
1147,208219.72915055917
757,143670.07942437293
2623,71192.36801750187
2378,157547.95413172405
1413,147771.78610688512
1722,238497.13073812966
1112,231217.11744113342
1623,176311.8818856963
1201,218337.84320308216
1513,124815.3558790748
957,252844.4322125163
1171,282051.0442572164
1145,221922.87004732125
2726,231845.77986734372
703,144160.02294039706
760,91686.70341392378
1964,136649.42910883712
2512,202432.95260336567
159,151114.3453887519
1281,170961.7407669261
468,191516.6185154601
290,119163.46193616521
665,120902.22819504759
1463,287806.8104650558
1792,245103.05454246394
923,144135.47981543714
500,287842.70362824644
1408,137892.98356949506
331,60828.13458205122
170,126340.30819764704
2192,86765.31902150562
2571,328110.3018236336
2314,153365.17069685517
2647,95736.07871357744
422,385173.40777101496
2457,348069.2777834204
1838,223744.0158669419
2805,263328.02390286693
1645,168434.3958958898
1711,304012.2024279209
2825,265579.0517581528
322,355866.58471812215
2103,281156.8069573394
342,128475.35078936507
600,100867.55847279399
488,183784.89782638525
1725,336994.2512713287
2246,260311.2524372233
2847,153385.0520533578
806,259303.2578587099
530,249564.7046890127
963,199200.42291205234
2678,104350.92846575435
171,75870.53066366441
2401,383500.7422328114
805,237832.64784560888
2259,200886.25796080593
1748,181874.97356936426
1361,147985.55422273508
1677,128859.12697827764
1406,147257.0616836642
2322,235966.32020326488
688,171611.23242638246
143,146915.6059495517
804,216485.76209850385
1214,169267.35902368883
2828,132263.73106584905
1999,207582.32169208248
2467,217730.02192278515
2665,187048.18207353665
1538,311949.3207351808
398,107431.7142406226
2822,138804.05812998192
2157,162609.8443129843
1856,185722.9139736997
1269,83904.05379650637
2570,121129.44653442423
2320,254592.64640942996
1517,126525.65870604175
2304,107458.58455973271
1312,84606.01171551974
